{e6adeecc-5637-46bb-a263-1e82fd1f261c} event:/cars/seat_cupra_tcr/backfire_ext
{aab3ef3d-368a-4434-92cf-2e2c73b1a1fc} event:/cars/seat_cupra_tcr/backfire_int
{fec3362a-9a56-44c2-80b5-981b6450195d} event:/cars/seat_cupra_tcr/bodywork
{9aa55d3a-1a7a-46a8-8f95-e6d703cf5ad9} event:/cars/seat_cupra_tcr/door
{962e19f5-e2ad-4174-a14e-54c84a037937} event:/cars/seat_cupra_tcr/engine_ext1
{70125182-b47d-406a-b859-ccabf0a9c2d3} event:/cars/seat_cupra_tcr/engine_int1
{182ea533-325d-4ad5-83e2-513369f59b0c} event:/cars/seat_cupra_tcr/engine_ext
{87d6b1d3-057d-4274-ab51-4305cce9691f} event:/cars/seat_cupra_tcr/engine_int
{550cf686-b093-4d1f-986a-80bad0a4418d} event:/cars/seat_cupra_tcr/gear_ext
{891ef800-805b-4db7-b224-30ecbbd2a494} event:/cars/seat_cupra_tcr/gear_grind
{4ee826f5-25c1-4bde-a8b5-57ef87e943db} event:/cars/seat_cupra_tcr/gear_int
{4ce502cf-ffac-48b0-83ac-90a63aa042d6} event:/cars/seat_cupra_tcr/horn
{96f67c0b-b40d-43fd-8749-794578048ee9} event:/cars/seat_cupra_tcr/limiter
{de66156f-c251-4683-bf8a-0c413806f2c2} event:/cars/seat_cupra_tcr/skid_ext
{838d9484-0764-4c71-a08b-3ceb4648d22f} event:/cars/seat_cupra_tcr/skid_int
{2427a959-b052-4b9c-9315-8cca79d5041e} event:/cars/seat_cupra_tcr/tractioncontrol_ext
{efdefced-919f-4ae3-a4e4-d79cc32706a6} event:/cars/seat_cupra_tcr/tractioncontrol_int
{f2625879-246b-43ef-8cee-4565e5f04535} event:/cars/seat_cupra_tcr/transmission
{6ed84a36-51a8-4907-a233-69ded17e9b96} event:/cars/seat_cupra_tcr/turbo
{de596ad4-ec71-4a0b-b02e-89a7d90963eb} event:/cars/seat_cupra_tcr/wheel
{bada48d3-0b6d-4efb-bbbb-eedfdcc1f626} event:/cars/seat_cupra_tcr/wind
{14f1b1cd-45d8-463f-880f-06424232d184} event:/cars/seat_cupra_tcr2/backfire_ext
{62bdad16-8c92-4ce9-b029-d1af51d0d19b} event:/cars/seat_cupra_tcr2/backfire_int
{ca8f412a-0287-4bcc-9059-1b1862d28385} event:/cars/seat_cupra_tcr2/bodywork
{91b27c21-cd3e-4e9e-af43-3f6e6002bbeb} event:/cars/seat_cupra_tcr2/door
